req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-ORD-002,ORD,Status,Order status tracking and history,Track order through pending/paid/shipped/delivered/cancelled states,,test_order_status,Integration Test,MISSING,P0,4,Order lifecycle management,0.5,REQ-ORD-001,REQ-ORD-003|REQ-PAY-002|REQ-SHIP-002|REQ-REV-001,,,,,requirements/ORD/REQ-ORD-002.md,
REQ-ORD-003,ORD,History,Order history listing,GET /orders and GET /orders/:id/history with pagination,,test_order_history,Integration Test,MISSING,HIGH,5,Customer order tracking,0.3,REQ-ORD-002,,,,,,requirements/ORD/REQ-ORD-003.md,
REQ-PAY-001,PAY,Processing,Payment processing with mock processor,POST /orders/:id/pay processes payment and updates order status,,test_payment_processing,Integration Test,MISSING,P0,4,Payments complete the purchase flow,0.5,REQ-ORD-001,REQ-PAY-002,,,,,requirements/PAY/REQ-PAY-001.md,
REQ-PAY-002,PAY,Refunds,Payment refunds for paid orders,POST /orders/:id/refund reverses payment and updates order status,,test_payment_refunds,Integration Test,MISSING,HIGH,5,Customer satisfaction and dispute resolution,0.5,REQ-PAY-001|REQ-ORD-002,,,,,,requirements/PAY/REQ-PAY-002.md,
REQ-SHIP-001,SHIP,Creation,Shipment creation and tracking,POST /orders/:id/ship creates shipment with carrier and tracking number,,test_shipment_creation,Integration Test,MISSING,P0,5,Fulfillment initiates delivery,0.5,REQ-ORD-001,REQ-SHIP-002,,,,,requirements/SHIP/REQ-SHIP-001.md,
REQ-SHIP-002,SHIP,Status,Shipment status tracking and delivery confirmation,PUT /shipments/:id/status tracks through processing/shipped/in_transit/delivered,,test_shipment_status,Integration Test,MISSING,P0,5,Delivery tracking and confirmation,0.5,REQ-SHIP-001|REQ-ORD-002,REQ-NOTIF-002|REQ-REV-001,,,,,requirements/SHIP/REQ-SHIP-002.md,
REQ-REV-001,REV,Submit,Product review submission,POST /products/:id/reviews requires delivered order for product,,test_review_submission,Integration Test,MISSING,HIGH,6,Customer feedback drives product quality,0.5,REQ-AUTH-002|REQ-PROD-001|REQ-ORD-002|REQ-SHIP-002,REQ-REV-002,,,,,requirements/REV/REQ-REV-001.md,
REQ-REV-002,REV,Moderation,Review moderation and listing,Admin approves reviews; GET /products/:id/reviews shows approved only,,test_review_moderation,Integration Test,MISSING,HIGH,6,Content quality control,0.5,REQ-REV-001,,,,,,requirements/REV/REQ-REV-002.md,
REQ-NOTIF-001,NOTIF,System,Notification system infrastructure,Create and list notifications for users,,test_notification_system,Integration Test,MISSING,HIGH,2,Notification delivery infrastructure,0.5,REQ-AUTH-001,REQ-NOTIF-002,,,,,requirements/NOTIF/REQ-NOTIF-001.md,
REQ-NOTIF-002,NOTIF,Order,Automated order lifecycle notifications,Auto-notify on order placed/paid/shipped/delivered,,test_order_notifications,Integration Test,MISSING,HIGH,6,Customer communication throughout order lifecycle,0.5,REQ-NOTIF-001|REQ-ORD-002|REQ-SHIP-002,,,,,,requirements/NOTIF/REQ-NOTIF-002.md,
REQ-AUDIT-001,AUDIT,Logging,Audit log for all mutations,Every create/update/delete records user action entity timestamp,,test_audit_log,Integration Test,MISSING,HIGH,3,Compliance and operational visibility,0.5,REQ-AUTH-002,,,,,,requirements/AUDIT/REQ-AUDIT-001.md,
REQ-VALID-001,VALID,Input,Input validation on all endpoints,422 with descriptive errors for invalid input,,test_input_validation,Integration Test,MISSING,HIGH,2,Prevents corrupt data and provides clear error messages,0.5,REQ-DB-001,,,,,,requirements/VALID/REQ-VALID-001.md,
REQ-TEST-001,TEST,Suite,Comprehensive test suite with single-command execution,All endpoints and business rules covered with pass/fail reporting,,test_comprehensive_suite,Integration Test,MISSING,P0,7,Verification depends on test coverage,1.5,REQ-AUTH-003|REQ-PROD-003|REQ-CART-002|REQ-DISC-001|REQ-ORD-003|REQ-PAY-002|REQ-SHIP-002|REQ-REV-002|REQ-NOTIF-002|REQ-AUDIT-001|REQ-VALID-001,,,,,,requirements/TEST/REQ-TEST-001.md,
