req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-CACHE-001,CACHE,Store,Response caching with configurable TTL,Cache GET 200 responses keyed by method path and query params,,test_response_caching,Integration Test,MISSING,P0,5,Reduces backend load for cacheable responses,0.5,REQ-TRANSFORM-002,REQ-CACHE-002,,,,,requirements/CACHE/REQ-CACHE-001.md,
REQ-CACHE-002,CACHE,Control,Cache bypass and invalidation,Cache-Control no-cache bypasses cache and X-Cache header indicates hit or miss,,test_cache_control,Integration Test,MISSING,HIGH,5,Client control over caching behavior,0.3,REQ-CACHE-001,REQ-CIRCUIT-001,,,,,requirements/CACHE/REQ-CACHE-002.md,
REQ-CIRCUIT-001,CIRCUIT,Breaker,Circuit breaker with state machine,Per-service closed/open/half_open states with configurable thresholds,,test_circuit_breaker,Integration Test,MISSING,P0,6,Prevents cascading failures to unhealthy backends,0.5,REQ-CACHE-002,REQ-CIRCUIT-002|REQ-RETRY-001,,,,,requirements/CIRCUIT/REQ-CIRCUIT-001.md,
REQ-CIRCUIT-002,CIRCUIT,Admin,Circuit breaker admin endpoints,GET state and POST reset for circuit breakers,,test_circuit_admin,Integration Test,MISSING,HIGH,6,Operational visibility and manual recovery,0.3,REQ-CIRCUIT-001,,,,,,requirements/CIRCUIT/REQ-CIRCUIT-002.md,
REQ-RETRY-001,RETRY,Policy,Retry with exponential backoff,Configurable retries per-route with backoff on 502/503/504,,test_retry_policy,Integration Test,MISSING,HIGH,7,Resilience against transient backend failures,0.5,REQ-CIRCUIT-001,REQ-RETRY-002,,,,,requirements/RETRY/REQ-RETRY-001.md,
REQ-RETRY-002,RETRY,Safety,Retry safety for non-idempotent methods,Do not retry POST/PATCH/DELETE unless explicitly configured,,test_retry_safety,Integration Test,MISSING,HIGH,7,Prevents duplicate side effects from retries,0.3,REQ-RETRY-001,REQ-HEALTH-002,,,,,requirements/RETRY/REQ-RETRY-002.md,
REQ-CORS-001,CORS,Preflight,CORS preflight handling,OPTIONS requests return correct CORS headers per-route config,,test_cors_preflight,Integration Test,MISSING,HIGH,4,Cross-origin browser access support,0.5,REQ-ROUTE-001,REQ-CORS-002,,,,,requirements/CORS/REQ-CORS-001.md,
REQ-CORS-002,CORS,Headers,CORS response headers on all requests,Add Access-Control headers based on per-route middleware config,,test_cors_headers,Integration Test,MISSING,HIGH,4,Browser enforces CORS on non-preflight requests too,0.3,REQ-CORS-001,,,,,,requirements/CORS/REQ-CORS-002.md,
REQ-HEALTH-001,HEALTH,Gateway,Gateway health endpoint,GET /health returns 200 when gateway is running,,test_gateway_health,Integration Test,MISSING,P0,2,Load balancer health check target,0.3,REQ-REG-001,,,,,,requirements/HEALTH/REQ-HEALTH-001.md,
REQ-HEALTH-002,HEALTH,Backend,Background health checker for backend services,Poll service health_check_path every 30s and update is_healthy,,test_backend_health,Integration Test,MISSING,P0,8,Proactive unhealthy service detection,0.5,REQ-RETRY-002|REQ-HEALTH-001,REQ-METRICS-002,,,,,requirements/HEALTH/REQ-HEALTH-002.md,
REQ-LOG-001,LOG,Structured,Structured JSON request logging,Log every proxy request with timestamp request_id method path service status latency,,test_structured_logging,Integration Test,MISSING,HIGH,3,Operational observability and debugging,0.5,REQ-AUTH-002,REQ-LOG-002,,,,,requirements/LOG/REQ-LOG-001.md,
REQ-LOG-002,LOG,Levels,Configurable log levels,Support debug/info/warn/error levels with runtime configuration,,test_log_levels,Integration Test,MISSING,HIGH,3,Control log verbosity for different environments,0.3,REQ-LOG-001,,,,,,requirements/LOG/REQ-LOG-002.md,
REQ-AUDIT-001,AUDIT,Logging,Audit log for all proxied requests,Record api_key_id method path target_service status_code latency_ms,,test_audit_log,Integration Test,MISSING,HIGH,3,Compliance and usage analytics,0.5,REQ-AUTH-002,REQ-METRICS-001,,,,,requirements/AUDIT/REQ-AUDIT-001.md,
REQ-METRICS-001,METRICS,Counters,Per-service and per-route request metrics,Total requests success error counts and avg latency per service,,test_metrics_counters,Integration Test,MISSING,HIGH,8,Operational dashboard data,0.5,REQ-AUDIT-001,REQ-METRICS-002,,,,,requirements/METRICS/REQ-METRICS-001.md,
REQ-METRICS-002,METRICS,Endpoint,Metrics admin endpoint,GET /admin/metrics returns aggregated metrics from counters and audit log,,test_metrics_endpoint,Integration Test,MISSING,HIGH,8,Admin access to operational metrics,0.5,REQ-METRICS-001|REQ-HEALTH-002,REQ-CONFIG-002,,,,,requirements/METRICS/REQ-METRICS-002.md,
REQ-CONFIG-001,CONFIG,File,YAML configuration file parsing,Load gateway config from YAML with services routes and settings,,test_config_parsing,Integration Test,MISSING,P0,1,Configuration drives all gateway behavior,0.5,,REQ-CONFIG-002,,,,,requirements/CONFIG/REQ-CONFIG-001.md,
REQ-CONFIG-002,CONFIG,Reload,Configuration hot-reload,POST /admin/config/reload re-reads YAML and updates running config,,test_config_reload,Integration Test,MISSING,HIGH,9,Zero-downtime configuration changes,0.5,REQ-CONFIG-001|REQ-METRICS-002,,,,,,requirements/CONFIG/REQ-CONFIG-002.md,
REQ-VALID-001,VALID,Input,Input validation on all admin endpoints,422 with descriptive errors for invalid input,,test_input_validation,Integration Test,MISSING,HIGH,2,Prevents invalid configuration,0.5,REQ-DB-001,,,,,,requirements/VALID/REQ-VALID-001.md,
REQ-TEST-001,TEST,Suite,Comprehensive test suite with mock backends,All middleware and admin endpoints covered with mock services,,test_comprehensive_suite,Integration Test,MISSING,P0,10,Verification depends on test coverage,1.5,REQ-CIRCUIT-002|REQ-RETRY-002|REQ-CORS-002|REQ-LOG-002|REQ-HEALTH-002|REQ-METRICS-002|REQ-CONFIG-002|REQ-VALID-001,,,,,,requirements/TEST/REQ-TEST-001.md,
